,r,minPoints,N_clusters,Noise_elements,frac_noise
146,0.37500000000000006,7,109,5465,52.5
147,0.37500000000000006,8,91,5656,54.3
148,0.37500000000000006,9,76,5832,56.0
149,0.37500000000000006,10,68,5940,57.1
150,0.4,1,3766,0,0.0
151,0.4,2,644,3123,30.0
152,0.4,3,333,3745,36.0
153,0.4,4,227,4170,40.1
154,0.4,5,173,4474,43.0
155,0.4,6,140,4717,45.3
156,0.4,7,125,4886,46.9
157,0.4,8,107,5097,49.0
158,0.4,9,84,5333,51.2
159,0.4,10,70,5482,52.7
160,0.42500000000000004,1,3187,0,0.0
161,0.42500000000000004,2,580,2608,25.1
162,0.42500000000000004,3,302,3164,30.4
163,0.42500000000000004,4,218,3508,33.7
164,0.42500000000000004,5,173,3781,36.3
165,0.42500000000000004,6,137,4070,39.1
166,0.42500000000000004,7,130,4253,40.9
167,0.42500000000000004,8,115,4448,42.7
168,0.42500000000000004,9,96,4698,45.1
169,0.42500000000000004,10,77,4954,47.6
170,0.45000000000000007,1,2502,0,0.0
171,0.45000000000000007,2,531,1972,18.9
172,0.45000000000000007,3,270,2494,24.0
173,0.45000000000000007,4,192,2839,27.3
174,0.45000000000000007,5,163,3088,29.7
175,0.45000000000000007,6,137,3309,31.8
176,0.45000000000000007,7,115,3538,34.0
177,0.45000000000000007,8,103,3722,35.8
178,0.45000000000000007,9,89,3911,37.6
179,0.45000000000000007,10,75,4131,39.7
180,0.47500000000000003,1,1847,0,0.0
181,0.47500000000000003,2,431,1417,13.6
182,0.47500000000000003,3,235,1809,17.4
183,0.47500000000000003,4,179,2101,20.2
184,0.47500000000000003,5,148,2347,22.5
185,0.47500000000000003,6,116,2606,25.0
186,0.47500000000000003,7,96,2818,27.1
187,0.47500000000000003,8,91,2963,28.5
188,0.47500000000000003,9,82,3123,30.0
189,0.47500000000000003,10,73,3345,32.1
190,0.5,1,1212,0,0.0
191,0.5,2,302,911,8.8
192,0.5,3,170,1175,11.3
193,0.5,4,126,1390,13.4
194,0.5,5,105,1583,15.2
195,0.5,6,80,1782,17.1
196,0.5,7,68,1956,18.8
197,0.5,8,58,2128,20.4
198,0.5,9,57,2252,21.6
199,0.5,10,52,2420,23.2
200,0.525,1,720,0,0.0
201,0.525,2,176,545,5.2
202,0.525,3,101,695,6.7
203,0.525,4,70,860,8.3
204,0.525,5,58,982,9.4
205,0.525,6,58,1100,10.6
206,0.525,7,55,1233,11.8
207,0.525,8,48,1374,13.2
208,0.525,9,41,1497,14.4
209,0.525,10,33,1640,15.8
210,0.55,1,406,0,0.0
211,0.55,2,108,299,2.9
212,0.55,3,49,417,4.0
213,0.55,4,38,484,4.6
214,0.55,5,29,568,5.5
215,0.55,6,25,624,6.0
216,0.55,7,20,703,6.8
217,0.55,8,20,768,7.4
218,0.55,9,17,849,8.2
219,0.55,10,14,920,8.8
220,0.5750000000000001,1,211,0,0.0
221,0.5750000000000001,2,58,154,1.5
222,0.5750000000000001,3,27,216,2.1
223,0.5750000000000001,4,16,269,2.6
224,0.5750000000000001,5,13,299,2.9
225,0.5750000000000001,6,11,325,3.1
226,0.5750000000000001,7,8,367,3.5
227,0.5750000000000001,8,7,396,3.8
228,0.5750000000000001,9,7,422,4.1
229,0.5750000000000001,10,6,453,4.4
230,0.6000000000000001,1,95,0,0.0
231,0.6000000000000001,2,24,72,0.7
232,0.6000000000000001,3,12,96,0.9
233,0.6000000000000001,4,9,114,1.1
234,0.6000000000000001,5,5,134,1.3
235,0.6000000000000001,6,4,147,1.4
236,0.6000000000000001,7,4,158,1.5
237,0.6000000000000001,8,4,164,1.6
238,0.6000000000000001,9,3,174,1.7
239,0.6000000000000001,10,3,179,1.7
240,0.6250000000000001,1,33,0,0.0
241,0.6250000000000001,2,11,23,0.2
242,0.6250000000000001,3,5,35,0.3
243,0.6250000000000001,4,4,41,0.4
244,0.6250000000000001,5,4,45,0.4
245,0.6250000000000001,6,3,50,0.5
246,0.6250000000000001,7,3,53,0.5
247,0.6250000000000001,8,3,54,0.5
248,0.6250000000000001,9,3,56,0.5
249,0.6250000000000001,10,3,61,0.6
250,0.65,1,20,0,0.0
251,0.65,2,7,14,0.1
252,0.65,3,3,22,0.2
253,0.65,4,3,22,0.2
254,0.65,5,3,24,0.2
255,0.65,6,2,31,0.3
256,0.65,7,2,33,0.3
257,0.65,8,2,33,0.3
258,0.65,9,2,33,0.3
259,0.65,10,2,33,0.3
260,0.675,1,8,0,0.0
261,0.675,2,3,6,0.1
262,0.675,3,3,6,0.1
263,0.675,4,3,6,0.1
264,0.675,5,3,8,0.1
265,0.675,6,2,13,0.1
266,0.675,7,2,13,0.1
267,0.675,8,2,13,0.1
268,0.675,9,2,14,0.1
269,0.675,10,2,14,0.1
270,0.7000000000000001,1,5,0,0.0
271,0.7000000000000001,2,2,4,0.0
272,0.7000000000000001,3,2,4,0.0
273,0.7000000000000001,4,2,4,0.0
274,0.7000000000000001,5,2,4,0.0
275,0.7000000000000001,6,2,4,0.0
276,0.7000000000000001,7,2,5,0.0
277,0.7000000000000001,8,2,5,0.0
278,0.7000000000000001,9,2,5,0.0
279,0.7000000000000001,10,2,5,0.0
280,0.7250000000000001,1,3,0,0.0
281,0.7250000000000001,2,3,1,0.0
282,0.7250000000000001,3,2,3,0.0
283,0.7250000000000001,4,2,3,0.0
284,0.7250000000000001,5,2,3,0.0
285,0.7250000000000001,6,2,3,0.0
286,0.7250000000000001,7,2,3,0.0
287,0.7250000000000001,8,2,3,0.0
288,0.7250000000000001,9,2,3,0.0
289,0.7250000000000001,10,2,3,0.0
290,0.7500000000000001,1,3,0,0.0
291,0.7500000000000001,2,3,1,0.0
292,0.7500000000000001,3,2,3,0.0
293,0.7500000000000001,4,2,3,0.0
294,0.7500000000000001,5,2,3,0.0
295,0.7500000000000001,6,2,3,0.0
296,0.7500000000000001,7,2,3,0.0
297,0.7500000000000001,8,2,3,0.0
298,0.7500000000000001,9,2,3,0.0
299,0.7500000000000001,10,2,3,0.0
300,0.775,1,3,0,0.0
301,0.775,2,3,1,0.0
302,0.775,3,2,3,0.0
303,0.775,4,2,3,0.0
304,0.775,5,2,3,0.0
305,0.775,6,2,3,0.0
306,0.775,7,2,3,0.0
307,0.775,8,2,3,0.0
308,0.775,9,2,3,0.0
309,0.775,10,2,3,0.0
310,0.8,1,1,0,0.0
311,0.8,2,1,0,0.0
312,0.8,3,1,0,0.0
313,0.8,4,1,0,0.0
314,0.8,5,1,0,0.0
315,0.8,6,1,0,0.0
316,0.8,7,1,0,0.0
317,0.8,8,1,0,0.0
318,0.8,9,1,0,0.0
319,0.8,10,1,0,0.0
320,0.8250000000000001,1,1,0,0.0
321,0.8250000000000001,2,1,0,0.0
322,0.8250000000000001,3,1,0,0.0
323,0.8250000000000001,4,1,0,0.0
324,0.8250000000000001,5,1,0,0.0
325,0.8250000000000001,6,1,0,0.0
326,0.8250000000000001,7,1,0,0.0
327,0.8250000000000001,8,1,0,0.0
328,0.8250000000000001,9,1,0,0.0
329,0.8250000000000001,10,1,0,0.0
330,0.8500000000000001,1,1,0,0.0
331,0.8500000000000001,2,1,0,0.0
332,0.8500000000000001,3,1,0,0.0
333,0.8500000000000001,4,1,0,0.0
334,0.8500000000000001,5,1,0,0.0
335,0.8500000000000001,6,1,0,0.0
336,0.8500000000000001,7,1,0,0.0
337,0.8500000000000001,8,1,0,0.0
338,0.8500000000000001,9,1,0,0.0
339,0.8500000000000001,10,1,0,0.0
340,0.8750000000000001,1,1,0,0.0
341,0.8750000000000001,2,1,0,0.0
342,0.8750000000000001,3,1,0,0.0
343,0.8750000000000001,4,1,0,0.0
344,0.8750000000000001,5,1,0,0.0
345,0.8750000000000001,6,1,0,0.0
346,0.8750000000000001,7,1,0,0.0
347,0.8750000000000001,8,1,0,0.0
348,0.8750000000000001,9,1,0,0.0
349,0.8750000000000001,10,1,0,0.0
350,0.9,1,1,0,0.0
351,0.9,2,1,0,0.0
352,0.9,3,1,0,0.0
353,0.9,4,1,0,0.0
354,0.9,5,1,0,0.0
355,0.9,6,1,0,0.0
356,0.9,7,1,0,0.0
357,0.9,8,1,0,0.0
358,0.9,9,1,0,0.0
359,0.9,10,1,0,0.0
360,0.925,1,1,0,0.0
361,0.925,2,1,0,0.0
